"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078792","BSU17290","NP_389611.1","small multidrug efflux transporter","58531","Escherichia coli 536","110644701","ECP_4594","WP_000481835.1","quaternary ammonium compound-resistance protein QacE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078792","BSU17290","NP_389611.1","small multidrug efflux transporter","58531","Escherichia coli 536","110642042","ECP_1870","WP_001070440.1","multidrug efflux protein","1","","ECP_4594[quaternary ammonium compound-resistance protein QacE]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767406","BSU17330","NP_389615.2","tRNA delta(2)-isopentenylpyrophosphate transferase","58531","Escherichia coli 536","110644528","ECP_4416","WP_001280355.1","tRNA delta(2)-isopentenylpyrophosphate transferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078797","BSU17340","NP_389616.1","RNA-binding protein Hfq","58531","Escherichia coli 536","110644529","ECP_4417","WP_001051883.1","RNA-binding protein Hfq","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078800","BSU17370","NP_389619.1","ribonucleotide reductase stimulatory protein","58531","Escherichia coli 536","110642799","ECP_2639","WP_000080947.1","ribonucleotide reductase stimulatory protein","1","BSU20070[ribonucleotide reductase stimulatory protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078801","BSU17380","NP_389620.1","ribonucleotide-diphosphate reductase subunit alpha","58531","Escherichia coli 536","110642800","ECP_2640","WP_000246587.1","ribonucleotide-diphosphate reductase subunit alpha","1","BSU20060[SPbeta phage ribonucleoside-diphosphate reductase, alpha subunit]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078802","BSU17390","NP_389621.1","ribonucleotide-diphosphate reductase subunit beta","58531","Escherichia coli 536","110642801","ECP_2641","WP_000777945.1","ribonucleotide-diphosphate reductase subunit beta","1","BSU20040[ribonucleotide-diphosphate reductase subunit beta]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767407","BSU17410","NP_389623.2","N-acetylmuramoyl-L-alanine amidase","58531","Escherichia coli 536","110642616","ECP_2456","WP_000102907.1","N-acetylmuramoyl-l-alanine amidase I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767409","BSU17430","NP_389625.2","GTP-binding protein protease modulator","58531","Escherichia coli 536","110644530","ECP_4418","WP_000460357.1","putative GTPase HflX","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078808","BSU17450","NP_389627.1","nitrogen metabolism transcriptional regulator","58531","Escherichia coli 536","110642335","ECP_2165","WP_001240405.1","MerR-like regulator A","1","","ECP_1199[transcriptional regulator YcgE]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078808","BSU17450","NP_389627.1","nitrogen metabolism transcriptional regulator","58531","Escherichia coli 536","110641381","ECP_1199","WP_000332313.1","transcriptional regulator YcgE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078809","BSU17460","NP_389628.1","glutamine synthetase","58531","Escherichia coli 536","110644210","ECP_4081","WP_001271717.1","glutamine synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767414","BSU17570","NP_389639.2","H+-xyloside symporter","58531","Escherichia coli 536","110641738","ECP_1560","WP_001075831.1","glucuronide transporter","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767416","BSU17590","NP_389641.2","transcriptional regulator","58531","Escherichia coli 536","110640887","ECP_0688","WP_000187594.1","N-acetylglucosamine repressor NagC","1","","ECP_1538[Mlc protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767416","BSU17590","NP_389641.2","transcriptional regulator","58531","Escherichia coli 536","110641716","ECP_1538","WP_000225277.1","Mlc protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767417","BSU17600","NP_389642.2","xylose isomerase","58531","Escherichia coli 536","110643813","ECP_3668","WP_001149592.1","xylose isomerase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078824","BSU17610","NP_389643.1","xylulose kinase","58531","Escherichia coli 536","110643812","ECP_3667","WP_000275340.1","xylulokinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078827","BSU17640","NP_389646.1","alanine racemase","58531","Escherichia coli 536","110644389","ECP_4270","WP_001147288.1","alanine racemase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078829","BSU17660","NP_389649.1","deoxyuridine 5'-triphosphate pyrophosphatase","58531","Escherichia coli 536","110643881","ECP_3738","WP_000976070.1","deoxyuridine 5'-triphosphate nucleotidohydrolase","1","BSU20020[SPbeta phage deoxyuridine 5'-triphosphate nucleotidohydrolase]","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078848","BSU17850","NP_389668.1","LexA repressor","58531","Escherichia coli 536","110644380","ECP_4261","WP_000646078.1","LexA repressor","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078852","BSU17890","NP_389672.1","transketolase","58531","Escherichia coli 536","110642637","ECP_2477","WP_000087338.1","transketolase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078852","BSU17890","NP_389672.1","transketolase","58531","Escherichia coli 536","110643084","ECP_2929","WP_000098601.1","transketolase","2","","ECP_2477[transketolase];ECP_4029[transketolase]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078852","BSU17890","NP_389672.1","transketolase","58531","Escherichia coli 536","110644160","ECP_4029","WP_001088080.1","transketolase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078863","BSU18000","NP_389683.1","aconitate hydratase","58531","Escherichia coli 536","110641511","ECP_1329","WP_000099499.1","aconitate hydratase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078864","BSU18010","NP_389684.1","membrane-bound proteins with a thioredoxin-like domain","58531","Escherichia coli 536","110642404","ECP_2235","YP_670134.1","thiol:disulfide interchange protein DsbE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812241","BSU18040","YP_054580.1","acyl-CoA thioesterase","58531","Escherichia coli 536","110640944","ECP_0747","WP_001098375.1","acyl-CoA thioester hydrolase YbgC","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078868","BSU18070","NP_389689.1","glycerol-3-phosphate acyltransferase PlsY","58531","Escherichia coli 536","110643303","ECP_3149","WP_001272796.1","putative glycerol-3-phosphate acyltransferase PlsY","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078869","BSU18080","NP_389690.1","CoA-binding protein","58531","Escherichia coli 536","110641155","ECP_0971","WP_000665217.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812242","BSU18090","NP_389691.2","DNA topoisomerase IV subunit B","58531","Escherichia coli 536","110644042","ECP_3900","WP_001298010.1","DNA gyrase subunit B","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078873","BSU18120","NP_389694.1","amino acid carrier protein","58531","Escherichia coli 536","110640221","ECP_0008","WP_001112565.1","putative transporter YaaJ","2","BSU02420[glutamine transporter];BSU27810[sodium/proton-dependent alanine transporter]","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078879","BSU18180","NP_389700.1","UTP-sugar-phosphate uridylyltransferase","58531","Escherichia coli 536","110641465","ECP_1283","WP_000718995.1","UTP--glucose-1-phosphate uridylyltransferase subunit GalU","1","","ECP_2082[UTP--glucose-1-phosphate uridylyltransferase subunit GalF]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078879","BSU18180","NP_389700.1","UTP-sugar-phosphate uridylyltransferase","58531","Escherichia coli 536","110642252","ECP_2082","WP_000183060.1","UTP--glucose-1-phosphate uridylyltransferase subunit GalF","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078880","BSU18190","NP_389701.1","integral inner membrane protein","58531","Escherichia coli 536","110642521","ECP_2356","WP_000364337.1","hypothetical protein","1","","ECP_3191[DedA family, membrane protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078880","BSU18190","NP_389701.1","integral inner membrane protein","58531","Escherichia coli 536","110643344","ECP_3191","WP_000422149.1","DedA family, membrane protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078883","BSU18220","NP_389704.1","enoyl-CoA hydratase","58531","Escherichia coli 536","110640249","ECP_0036","WP_000004399.1","carnitinyl-CoA dehydratase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078886","BSU18250","NP_389707.1","AMP-binding domain protein","58531","Escherichia coli 536","110641822","ECP_1648","WP_001298223.1","short chain acyl-CoA synthetase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078887","BSU18260","NP_389708.1","acyl-CoA dehydrogenase","58531","Escherichia coli 536","110641816","ECP_1642","WP_000347850.1","putative acyl-CoA dehydrogenase","1","BSU37170[acyl-CoA dehydrogenase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078889","BSU18280","NP_389710.1","hypothetical protein","58531","Escherichia coli 536","110641665","ECP_1487","WP_032140751.1","lipoprotein YddW precursor","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767428","BSU18310","NP_389713.2","plipastatin synthetase","58531","Escherichia coli 536","110642140","ECP_1970","WP_000222467.1","putative non-ribosomal peptide synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767428","BSU18310","NP_389713.2","plipastatin synthetase","58531","Escherichia coli 536","110642141","ECP_1971","WP_001468003.1","putative non-ribosomal peptide synthase","1","","ECP_1970[putative non-ribosomal peptide synthase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078893","BSU18320","NP_389714.1","plipastatin synthetase","58531","Escherichia coli 536","110642140","ECP_1970","WP_000222467.1","putative non-ribosomal peptide synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078893","BSU18320","NP_389714.1","plipastatin synthetase","58531","Escherichia coli 536","110642141","ECP_1971","WP_001468003.1","putative non-ribosomal peptide synthase","1","","ECP_1970[putative non-ribosomal peptide synthase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767429","BSU18340","NP_389716.2","plipastatin synthetase","58531","Escherichia coli 536","110642140","ECP_1970","WP_000222467.1","putative non-ribosomal peptide synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767429","BSU18340","NP_389716.2","plipastatin synthetase","58531","Escherichia coli 536","110642141","ECP_1971","WP_001468003.1","putative non-ribosomal peptide synthase","1","","ECP_1970[putative non-ribosomal peptide synthase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078896","BSU18350","NP_389717.1","D-alanyl-D-alanine carboxypeptidase","58531","Escherichia coli 536","110643422","ECP_3269","WP_001212616.1","D-alanyl-D-alanine carboxypeptidase/endopeptidase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078902","BSU18410","NP_389723.1","membrane bound gamma-glutamyltranspeptidase","58531","Escherichia coli 536","110643687","ECP_3540","WP_000595131.1","gamma-glutamyltranspeptidase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078903","BSU18420","NP_389724.1","LysR family transcriptional regulator","58531","Escherichia coli 536","110641688","ECP_1510","WP_000366517.1","transcriptional regulator YneJ","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767433","BSU18440","NP_389726.2","glutamate synthase subunit beta","58531","Escherichia coli 536","110642640","ECP_2480","WP_001078900.1","putative oxidoreductase Fe-S binding subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767433","BSU18440","NP_389726.2","glutamate synthase subunit beta","58531","Escherichia coli 536","110643035","ECP_2880","WP_001490479.1","putative oxidoreductase Fe-S binding subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767433","BSU18440","NP_389726.2","glutamate synthase subunit beta","58531","Escherichia coli 536","110643453","ECP_3302","WP_000081658.1","glutamate synthase subunit beta","2","","ECP_2480[putative oxidoreductase Fe-S binding subunit];ECP_2880[putative oxidoreductase Fe-S binding subunit]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078908","BSU18470","NP_389729.1","gamma-glutamyl kinase","58531","Escherichia coli 536","110640478","ECP_0271","WP_001285288.1","gamma-glutamyl kinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812244","BSU18480","NP_389730.2","pyrroline-5-carboxylate reductase","58531","Escherichia coli 536","110640647","ECP_0445","WP_001298540.1","pyrroline-5-carboxylate reductase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767437","BSU18570","NP_389739.2","molybdopterin cofactor oxido-reductase","58531","Escherichia coli 536","110643799","ECP_3654","WP_000013968.1","biotin sulfoxide reductase","1","BSU40930[oxidoreductase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767437","BSU18570","NP_389739.2","molybdopterin cofactor oxido-reductase","58531","Escherichia coli 536","110641094","ECP_0908","WP_000850288.1","anaerobic dimethyl sulfoxide reductase chain A precursor","2","BSU40930[oxidoreductase]","ECP_3654[biotin sulfoxide reductase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767438","BSU18610","NP_389742.2","methyl-accepting chemotaxis protein","58531","Escherichia coli 536","110644790","ECP_4683","WP_000919563.1","methyl-accepting chemotaxis protein I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078926","BSU18660","NP_389747.1","hypothetical protein","58531","Escherichia coli 536","110642037","ECP_1865","WP_000334562.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078937","BSU18770","NP_389758.1","cysteine and O-acetyl serine efflux permease","58531","Escherichia coli 536","110644284","ECP_4157","WP_001271242.1","transport protein YijE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078943","BSU18830","NP_389764.1","phosphoenolpyruvate synthase","58531","Escherichia coli 536","110641823","ECP_1649","WP_000069372.1","phosphoenolpyruvate synthase","1","BSU35190[phosphotransferase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078948","BSU18880","NP_389769.1","hypothetical protein","58531","Escherichia coli 536","110642037","ECP_1865","WP_000334562.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078979","BSU19190","NP_389800.1","two-component sensor histidine kinase DesR","58531","Escherichia coli 536","110644016","ECP_3874","WP_001314238.1","sensory histidine kinase UhpB","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078981","BSU19210","NP_389802.1","exported cell wall-binding protein","58531","Escherichia coli 536","110640426","ECP_0217","WP_000644674.1","membrane-bound lytic murein transglycosylase D","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078982","BSU19220","NP_389803.1","ATP-dependent nucleic acid helicase","58531","Escherichia coli 536","110644147","ECP_4016","WP_001442069.1","ATP-dependent DNA helicase RecQ","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078983","BSU19230","NP_389804.1","azoreductase","58531","Escherichia coli 536","110641597","ECP_1417","WP_000048941.1","azoreductase","1","BSU33540[azoreductase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078991","BSU19310","NP_389813.1","aldehyde dehydrogenase","58531","Escherichia coli 536","110640592","ECP_0387","WP_000089053.1","betaine aldehyde dehydrogenase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767452","BSU19360","NP_389818.2","dihydrolipoamide succinyltransferase","58531","Escherichia coli 536","110640935","ECP_0738","WP_000099829.1","dihydrolipoamide succinyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767452","BSU19360","NP_389818.2","dihydrolipoamide succinyltransferase","58531","Escherichia coli 536","110644394","ECP_4275","WP_000570228.1","dihydrolipoamide succinyltransferase","1","","ECP_0738[dihydrolipoamide succinyltransferase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767453","BSU19370","NP_389819.3","2-oxoglutarate dehydrogenase E1 component","58531","Escherichia coli 536","110644393","ECP_4274","WP_001298284.1","2-oxoglutarate dehydrogenase E1 component","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767453","BSU19370","NP_389819.3","2-oxoglutarate dehydrogenase E1 component","58531","Escherichia coli 536","110640934","ECP_0737","WP_001181473.1","2-oxoglutarate dehydrogenase E1 component","1","","ECP_4274[2-oxoglutarate dehydrogenase E1 component]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16078999","BSU19390","NP_389821.1","nitric-oxide reductase","58531","Escherichia coli 536","110642326","ECP_2156","WP_001297893.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079000","BSU19400","NP_389822.1","superoxide dismutase (exported lipoprotein)","58531","Escherichia coli 536","110641768","ECP_1592","WP_001298528.1","superoxide dismutase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812248","BSU19420","NP_389824.2","glycosyltransferase","58531","Escherichia coli 536","110640512","ECP_0306","WP_001298145.1","putative glycosyl transferase","2","BSU05720[glycosyltransferase];BSU12220[glycosyltransferase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079004","BSU19440","NP_389826.1","multidrug efflux protein","58531","Escherichia coli 536","110641786","ECP_1610","WP_001174940.1","multidrug efflux protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812251","BSU19480","NP_389830.2","integral inner membrane protein","58531","Escherichia coli 536","110644144","ECP_4013","WP_000339107.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079010","BSU19520","NP_389833.1","H+/anion permease","58531","Escherichia coli 536","110644624","ECP_4514","WP_001128336.1","Gnt-II system L-idonate transporter","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079010","BSU19520","NP_389833.1","H+/anion permease","58531","Escherichia coli 536","110643648","ECP_3501","WP_001131758.1","high-affinity gluconate transporter","1","","ECP_4514[Gnt-II system L-idonate transporter]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079017","BSU19590","NP_389840.1","carboxy-terminal processing protease","58531","Escherichia coli 536","110641948","ECP_1774","WP_001055794.1","carboxy-terminal protease","1","BSU35240[PDZ-containing carboxyl-terminal protease processing protease]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079021","BSU19630","NP_389844.1","purine nucleoside phosphorylase","58531","Escherichia coli 536","110644821","ECP_4768","WP_000224879.1","purine nucleoside phosphorylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079027","BSU19690","NP_389850.1","lysine 2,3-aminomutase","58531","Escherichia coli 536","110644505","ECP_4390","WP_000940544.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079029","BSU19710","NP_389852.1","acetylornithine deacetylase","58531","Escherichia coli 536","110644297","ECP_4170","WP_001298411.1","acetylornithine deacetylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079060","BSU20020","NP_389883.1","SPbeta phage deoxyuridine 5'-triphosphate nucleotidohydrolase","58531","Escherichia coli 536","110643881","ECP_3738","WP_000976070.1","deoxyuridine 5'-triphosphate nucleotidohydrolase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812253","BSU20040","NP_389886.2","ribonucleotide-diphosphate reductase subunit beta","58531","Escherichia coli 536","110642801","ECP_2641","WP_000777945.1","ribonucleotide-diphosphate reductase subunit beta","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812254","BSU20060","NP_389888.2","SPbeta phage ribonucleoside-diphosphate reductase, alpha subunit","58531","Escherichia coli 536","110642800","ECP_2640","WP_000246587.1","ribonucleotide-diphosphate reductase subunit alpha","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079066","BSU20070","NP_389889.1","ribonucleotide reductase stimulatory protein","58531","Escherichia coli 536","110642799","ECP_2639","WP_000080947.1","ribonucleotide reductase stimulatory protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079108","BSU20490","NP_389931.1","hypothetical protein","58531","Escherichia coli 536","110642037","ECP_1865","WP_000334562.1","hypothetical protein","2","BSU18660[hypothetical protein];BSU18880[hypothetical protein]","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767473","BSU21350","NP_390018.2","SPbeta phage protein; lytic transglycosylase","58531","Escherichia coli 536","110641974","ECP_1800","WP_001184045.1","hypothetical protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079227","BSU21680","NP_390051.1","methionine sulfoxide reductase B","58531","Escherichia coli 536","110641900","ECP_1726","WP_001284618.1","methionine sulfoxide reductase B","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079228","BSU21690","NP_390052.1","methionine sulfoxide reductase A","58531","Escherichia coli 536","110644584","ECP_4472","WP_001298072.1","methionine sulfoxide reductase A","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079230","BSU21710","NP_390054.1","damage inducible, Na+ driven multidrug efflux pump","58531","Escherichia coli 536","110642138","ECP_1968","WP_000217768.1","drug/sodium antiporter","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079236","BSU21770","NP_390060.1","threonine dehydratase","58531","Escherichia coli 536","110644102","ECP_3965","WP_000967718.1","threonine dehydratase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079238","BSU21790","NP_390062.1","membrane hydrolase","58531","Escherichia coli 536","110643048","ECP_2893","WP_000250274.1","putative hemolysin (putative membrane protein)","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079240","BSU21810","NP_390064.1","dihydrofolate reductase","58531","Escherichia coli 536","110640261","ECP_0048","WP_000624375.1","dihydrofolate reductase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079241","BSU21820","NP_390065.1","thymidylate synthase","58531","Escherichia coli 536","110642995","ECP_2840","WP_000816232.1","thymidylate synthase","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767479","BSU21870","NP_390070.2","dihydroxy-acid dehydratase","58531","Escherichia coli 536","110644101","ECP_3964","WP_001127372.1","dihydroxy-acid dehydratase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079248","BSU21890","NP_390072.1","metal-dependent phosphohydrolase","58531","Escherichia coli 536","110642067","ECP_1895","WP_001298512.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079249","BSU21900","NP_390073.1","peroxidase","58531","Escherichia coli 536","110641832","ECP_1658","WP_001154199.1","putative glutathione peroxidase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767480","BSU21910","NP_390074.2","homoserine O-succinyltransferase","58531","Escherichia coli 536","110644344","ECP_4223","WP_001122785.1","homoserine O-succinyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079252","BSU21930","NP_390076.1","cold-shock protein, molecular chaperone, RNA-helicase co-factor","58531","Escherichia coli 536","110641171","ECP_0987","WP_000066490.1","cold shock protein CspG","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079252","BSU21930","NP_390076.1","cold-shock protein, molecular chaperone, RNA-helicase co-factor","58531","Escherichia coli 536","110643804","ECP_3659","WP_000014594.1","major cold shock protein","1","","ECP_0987[cold shock protein CspG]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079257","BSU21980","NP_390081.1","integral inner membrane protein","58531","Escherichia coli 536","110643713","ECP_3566","WP_001100463.1","hypothetical protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079258","BSU21990","NP_390082.1","hypothetical protein","58531","Escherichia coli 536","110640429","ECP_0220","WP_000917867.1","ribonuclease H","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079264","BSU22060","NP_390088.1","xanthine permease","58531","Escherichia coli 536","110643036","ECP_2881","WP_001295374.1","putative purine permease YgfU","2","BSU32430[uric acid permease];BSU32440[uric acid permease]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079267","BSU22090","NP_390091.1","2-keto-3-deoxygluconate permease","58531","Escherichia coli 536","110644246","ECP_4119","WP_001166063.1","2-keto-3-deoxygluconate permease","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079268","BSU22100","NP_390092.1","2-keto-3-deoxygluconate-6-phosphate aldolase","58531","Escherichia coli 536","110641968","ECP_1794","WP_000800512.1","keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079269","BSU22110","NP_390093.1","2-keto-3-deoxygluconate kinase","58531","Escherichia coli 536","110643494","ECP_3343","WP_000048611.1","ribokinase family sugar kinase","1","BSU39740[2-deoxy-5-keto-D-gluconic acid kinase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079269","BSU22110","NP_390093.1","2-keto-3-deoxygluconate kinase","58531","Escherichia coli 536","110643500","ECP_3349","WP_001298584.1","ribokinase family sugar kinase","2","BSU39740[2-deoxy-5-keto-D-gluconic acid kinase]","ECP_3343[ribokinase family sugar kinase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079271","BSU22130","NP_390095.1","5-keto-4-deoxyuronate isomerase","58531","Escherichia coli 536","110643011","ECP_2856","WP_000383248.1","5-keto-4-deoxyuronate isomerase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079272","BSU22140","NP_390096.1","2-deoxy-D-gluconate 3-dehydrogenase","58531","Escherichia coli 536","110643010","ECP_2855","WP_000603518.1","2-deoxy-D-gluconate 3-dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079275","BSU22170","NP_390099.1","methylase with RNA interaction domain","58531","Escherichia coli 536","110641137","ECP_0953","WP_001086544.1","23S rRNA m(2)G2445 methyltransferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16079281","BSU22230","NP_390105.1","phosphotransferase system enzyme IIA component","58531","Escherichia coli 536","110642601","ECP_2441","WP_000522242.1","PTS system glucose-specific transporter subunit","","","",""
